"","Top 10 Gross","%± LW...2","Overall Gross","%± LW...4","Releases","#1 Release","Genre","Budget","Running Time","Week","Long Weekend","Year"
"139","$83,339,526","+1.7%","$105,040,730","-0.8%",123,"Saw III","-","-","-",43,"false",2006
"140","$81,965,050","-15.5%","$105,848,273","-5%",130,"The Prestige","-","-","-",42,"false",2006
"141","$96,953,720","-2%","$111,414,262","-0.4%",139,"The Grudge 2","-","-","-",41,"false",2006
"142","$109,260,001","+19.1%","$120,273,065","+5.7%",45,"The Departed","-","-","-",40,"true",2006
"143","$98,930,483","+18.7%","$111,811,103","+11.7%",131,"The Departed","-","-","-",40,"false",2006
"144","$83,332,898","+8%","$100,058,793","+1.4%",137,"Open Season","-","-","-",39,"false",2006
"145","$77,173,306","+36.9%","$98,631,092","+26.7%",141,"Jackass Number Two","-","-","-",38,"false",2006
"146","$56,361,184","+15%","$77,842,743","+8.6%",132,"Gridiron Gang","-","-","-",37,"false",2006
"147","$49,006,882","-30.7%","$71,646,441","-29.5%",126,"The Covenant","-","-","-",36,"false",2006
"148","$70,735,453","-6.7%","$101,692,847","-1%",116,"Invincible","-","-","-",35,"false",2006
"149","$88,992,177","-2.9%","$129,258,128","+9.8%",124,"Invincible","-","-","-",35,"true",2006
"150","$75,796,177","-11.1%","$102,754,813","-6%",130,"Invincible","-","-","-",34,"false",2006
"151","$85,216,005","-17.9%","$109,357,973","-15.4%",134,"Snakes on a Plane","-","-","-",33,"false",2006
"152","$103,779,263","-10.8%","$129,295,360","-8.5%",131,"Talladega Nights: The Ballad of Ricky Bobby","-","-","-",32,"false",2006
"153","$116,349,093","+6.9%","$141,249,114","+7.6%",122,"Talladega Nights: The Ballad of Ricky Bobby","-","-","-",31,"false",2006
"154","$108,847,779","-20.9%","$131,290,988","-12.9%",124,"Miami Vice","-","-","-",30,"false",2006
"155","$137,618,515","-6.9%","$150,752,235","-5.2%",123,"Pirates of the Caribbean: Dead Man's Chest","-","-","-",29,"false",2006
"156","$147,808,292","-28.7%","$159,053,824","-27.1%",121,"Pirates of the Caribbean: Dead Man's Chest","-","-","-",28,"false",2006
"157","$207,346,655","+49%","$218,137,021","+41.5%",119,"Pirates of the Caribbean: Dead Man's Chest","-","-","-",27,"false",2006
"158","$203,866,345","+30.7%","$225,886,164","+31.6%",98,"Superman Returns","-","-","-",26,"true",2006
"159","$139,186,743","+11.5%","$154,124,212","+9.6%",117,"Superman Returns","-","-","-",26,"false",2006
"160","$124,781,927","-10.8%","$140,628,407","-7.3%",132,"Click","-","-","-",25,"false",2006
"161","$139,818,068","-3.3%","$151,751,517","-1.5%",124,"Cars","-","-","-",24,"false",2006
"162","$144,546,385","+12.9%","$154,004,019","+13.3%",123,"Cars","-","-","-",23,"false",2006
"163","$128,081,069","-31.5%","$135,910,998","-30.7%",122,"The Break-Up","-","-","-",22,"false",2006
"164","$186,924,554","+22.1%","$196,256,569","+20.1%",114,"X-Men: The Last Stand","-","-","-",21,"false",2006
"165","$230,014,025","+2.7%","$241,939,829","+4.2%",125,"X-Men: The Last Stand","-","-","-",21,"true",2006
"166","$153,143,247","+89.3%","$163,353,757","+64.5%",133,"The Da Vinci Code","-","-","-",20,"false",2006
"167","$80,908,534","-14.5%","$99,324,950","-10.4%",129,"Mission: Impossible III","-","-","-",19,"false",2006
"168","$94,591,176","+10%","$110,876,301","+8.2%",129,"Mission: Impossible III","-","-","-",18,"false",2006
"169","$86,027,988","-9.8%","$102,457,813","-6.6%",145,"RV","-","-","-",17,"false",2006
"170","$95,425,388","-10.9%","$109,656,699","-8.7%",135,"Silent Hill","-","-","-",16,"false",2006
"171","$120,316,887","+20.2%","$132,023,054","+19.8%",45,"Scary Movie 4","-","-","-",15,"true",2006
"172","$107,052,016","+8%","$120,066,541","+4.2%",141,"Scary Movie 4","-","-","-",15,"false",2006
"173","$99,082,969","-22%","$115,255,502","-18.9%",130,"Ice Age: The Meltdown","-","-","-",14,"false",2006
"174","$127,044,749","+33.7%","$142,136,522","+29.9%",130,"Ice Age: The Meltdown","-","-","-",13,"false",2006
"175","$95,002,772","+5.9%","$109,442,386","+2.7%",117,"Inside Man","-","-","-",12,"false",2006
"176","$89,715,805","+1%","$106,591,480","-3.5%",132,"V for Vendetta","-","-","-",11,"false",2006
"177","$88,857,740","+14.2%","$110,479,677","+6.2%",127,"Failure to Launch","-","-","-",10,"false",2006
"178","$77,823,578","-18%","$104,044,555","-13.4%",128,"Madea's Family Reunion","-","-","-",9,"false",2006
